GeoFips,GeoName,2017,2018,2019
12065,"Jefferson, FL",277948,266423,274791
12067,"Lafayette, FL",161912,167277,150680
12069,"Lake, FL",8691209,9011351,9264579
12071,"Lee, FL",28267947,29219725,29723883
12073,"Leon, FL",13404341,13447368,13766905
12075,"Levy, FL",916958,912725,906727
12077,"Liberty, FL",200207,203246,185745
12079,"Madison, FL",378516,398626,384413
12081,"Manatee, FL",12836217,13422725,14154659
12083,"Marion, FL",8913100,9183128,9424822
12085,"Martin, FL",6783251,7038143,7155892
12086,"Miami-Dade, FL",141911182,147635005,148725621
12087,"Monroe, FL",4403285,4400490,4648398
12089,"Nassau, FL",2366277,2409050,2565853
12091,"Okaloosa, FL",10330321,10604298,11170644
12093,"Okeechobee, FL",1270748,1164899,1594097
12095,"Orange, FL",84883628,87735065,90788216
12097,"Osceola, FL",9238559,9480358,10151723
12099,"Palm Beach, FL",73648041,76147469,77975264
12101,"Pasco, FL",11315216,11738089,12256921
12103,"Pinellas, FL",44237143,45452286,46331979
12105,"Polk, FL",23421440,24014079,24938252
12107,"Putnam, FL",1949509,1989467,2013030
12109,"St. Johns, FL",7943148,8457444,8889977
12111,"St. Lucie, FL",8428741,8701967,8786833
12113,"Santa Rosa, FL",4035877,4261652,4403068
12115,"Sarasota, FL",18268336,19217046,19617326
12117,"Seminole, FL",19026064,19980261,20751894
12119,"Sumter, FL",2868175,3104927,3735975
12121,"Suwannee, FL",1203912,1245090,1168357
12123,"Taylor, FL",680087,688200,659514
12125,"Union, FL",273061,264913,266577
12127,"Volusia, FL",16125246,16619701,16867458
12129,"Wakulla, FL",666677,619304,670427
12131,"Walton, FL",2725912,2801980,3028535
12133,"Washington, FL",510122,508906,535744
13001,"Appling, GA",1437273,1383965,1388942
13003,"Atkinson, GA",208815,210451,219752
13005,"Bacon, GA",329599,323019,339090
13007,"Baker, GA",64302,64412,73676
13009,"Baldwin, GA",1183560,1174201,1227563
13011,"Banks, GA",399841,419464,395898
13013,"Barrow, GA",1856979,1969504,2011714
13015,"Bartow, GA",4454461,4506843,4529467
13017,"Ben Hill, GA",460170,460827,464846
13019,"Berrien, GA",347844,345838,365401
13021,"Bibb, GA",7498495,7640986,7565865
13023,"Bleckley, GA",217524,212654,218073
13025,"Brantley, GA",219121,224791,223503
13027,"Brooks, GA",304231,295490,372427
13029,"Bryan, GA",881089,907522,931778
13031,"Bulloch, GA",2142199,2148559,2230248
13033,"Burke, GA",2479441,2502329,2770976
13035,"Butts, GA",563077,573731,606238
13037,"Calhoun, GA",116277,107428,116646
13039,"Camden, GA",1815759,1706146,1681147
13043,"Candler, GA",228308,230926,242307
13045,"Carroll, GA",4035264,4287421,4379895
